@RELATION programmer_profiling

@ATTRIBUTE "Non-empty Lines" REAL
@ATTRIBUTE Words REAL
@ATTRIBUTE Chars REAL
@ATTRIBUTE "Ternary Operations" REAL
@ATTRIBUTE Comments REAL
@ATTRIBUTE "Comment Readability" REAL
@ATTRIBUTE "Multi-line to All Comments" REAL
@ATTRIBUTE "Inline to All Comments" REAL
@ATTRIBUTE "Unindented Comments" {True, False}
@ATTRIBUTE Macros REAL
@ATTRIBUTE #INCLUDE REAL
@ATTRIBUTE #DEFINE REAL
@ATTRIBUTE #IFNDEF REAL
@ATTRIBUTE #IFDEF REAL
@ATTRIBUTE "Using STL Libraries" {True, False}
@ATTRIBUTE Literals REAL
@ATTRIBUTE "Literal Name Readability" REAL
@ATTRIBUTE "Custom Types" REAL
@ATTRIBUTE "Custom Type Name Readability" REAL
@ATTRIBUTE "Object Definitions" REAL
@ATTRIBUTE "Object Declarations" REAL
@ATTRIBUTE "String Readability" REAL
@ATTRIBUTE "All Keywords" REAL
@ATTRIBUTE "IF Keywords" REAL
@ATTRIBUTE "ELSE Keywords" REAL
@ATTRIBUTE "FOR Keywords" REAL
@ATTRIBUTE "WHILE Keywords" REAL
@ATTRIBUTE "SWITCH Keywords" REAL
@ATTRIBUTE "DO Keywords" REAL
@ATTRIBUTE "Unique Words" REAL
@ATTRIBUTE Functions REAL
@ATTRIBUTE "Function Name Readability" REAL
@ATTRIBUTE "Nesting Depth" REAL
@ATTRIBUTE "Average Parameter Count" REAL
@ATTRIBUTE "Parameter Count Deviation" REAL
@ATTRIBUTE Commands REAL
@ATTRIBUTE "Average Commands per Line" REAL
@ATTRIBUTE "Commands per Line Deviation" REAL
@ATTRIBUTE "Empty Lines" REAL
@ATTRIBUTE Tabulators REAL
@ATTRIBUTE Spaces REAL
@ATTRIBUTE "Space Indents" REAL
@ATTRIBUTE "Tab Indents" REAL
@ATTRIBUTE "Prefers Tabs over Spaces" {True, False}
@ATTRIBUTE "Whitespace to Character Ratio" REAL
@ATTRIBUTE "Average Line Length" REAL
@ATTRIBUTE "Line Length Deviation" REAL
@ATTRIBUTE Author {.dd, .jaz, 23nigam, 37ae912, 3abdelazim, 3of7, 735612658, A.Grishchenko, a180285, a9108, aa2985759, aaaaajack, abcsampson, abdurak, abhay26, abhra73, Abscp, abyss.7, abyssmaul, achan1058, achiever202, ACMonster, ACPrimer, acrush, ACube, adi.pearl, ADJA, Adrian.Orzepowski, AdrianKuegel, adrianvidal, AekdyCoin, AEtheReal, afix, AguL, AHA, AHdoc, AhmedSalem, ahri, ahxun2006, Ahyangyi, aibaiche, AIQINGXING, airsplay, Aiz, AizukiKoh, AK93, Akai, akashin, akat, akazakov, akhtyamovpavel, Akitsukineko, AKM, aknow, akrasuski1, Al.Cash, alabax, AlanC, alantian, alberist, albert96, alberta.green, alei.alhepSoft, Aleksander, alex.jh, alex9801, AlexAlvarez, Alexander86, AlexeyChernevich, AlexUdalov, AlexX, Aliaksei, alikhtarov, alin, allenlyh, allocator64, ALONG, alpc104, alphaking, amashrabov, Amb, Amir.bh, amirmahdi, amoebius, amthabet, Amtrix, amylase, Ananya, Anardael, Anarivu, anders, Andfive, Andrew.Makar, AndreySiunov, andrii.nakryiko, angargo, angelok7, AngryBird, angwuy, ania7}

@DATA
75,319,2313,0.013333333333333334,0.04,0,0.0,0.0,False,0.04,0.04,0.0,0.0,0.0,True,65,0.03571428571428571,0.0,0,0.0,0.0,0.07142857142857142,0.3333333333333333,0.12,0.0,0.18666666666666668,0.0,0.0,0.02666666666666667,0.1786833855799373,0.02666666666666667,0.0,4,2.0,0.0,73,0.9733333333333334,0.5450666666666666,18,0,908,0.7333333333333333,0.0,False,0.3925637699956766,30.6,15.743999999999993,.dd
27,107,817,0.0,0.037037037037037035,0,0.0,0.0,False,0.07407407407407407,0.07407407407407407,0.0,0.0,0.0,False,19,0.08333333333333333,0.0,0,0.0,0.0,0.09090909090909091,0.2962962962962963,0.07407407407407407,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.32710280373831774,0.0,0,4,0,0,25,0.9259259259259259,0.4801097393689988,5,0,262,0.7777777777777778,0.0,False,0.32068543451652387,30.074074074074073,15.643347050754459,.dd
35,107,948,0.0,0.0,0,0,0,False,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,False,28,0.058823529411764705,0.0,0,0.0,0.0,0.08333333333333333,0.2857142857142857,0.05714285714285714,0.05714285714285714,0.17142857142857143,0.0,0.0,0.0,0.3644859813084112,0.0,0,4,0,0,34,0.9714285714285714,0.6106122448979592,5,0,392,0.7714285714285715,0.0,False,0.41350210970464135,26.942857142857143,14.623673469387755,.dd
38,159,992,0.0,0.0,0,0,0,False,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,False,45,0.07142857142857142,0.0,0,0.0,0.0,0.09090909090909091,0.23684210526315788,0.10526315789473684,0.02631578947368421,0.10526315789473684,0.0,0.0,0.0,0.2578616352201258,0.05263157894736842,0.0,4,2.0,0.0,27,0.7105263157894737,0.5609418282548478,9,0,338,0.6842105263157895,0.0,False,0.3407258064516129,25.86842105263158,14.433518005540165,.dd
106,447,2829,0.0,0.018867924528301886,0,0.0,0.0,False,0.02830188679245283,0.02830188679245283,0.0,0.0,0.0,True,94,0.02702702702702703,0.0,0,0.0,0.0,0.125,0.330188679245283,0.10377358490566038,0.02830188679245283,0.16981132075471697,0.009433962264150943,0.0,0.018867924528301886,0.15659955257270694,0.02830188679245283,0.0,4,2.0,0.0,101,0.9528301886792453,0.6472054111783555,26,0,973,0.7264150943396226,0.0,False,0.343937787203959,26.443396226415093,14.08276966892132,.dd
63,196,1559,0.0,0.0,0,0,0,False,0.031746031746031744,0.031746031746031744,0.0,0.0,0.0,False,47,0.04,0.0,0,0.0,0.0,0.09090909090909091,0.2222222222222222,0.07936507936507936,0.031746031746031744,0.1111111111111111,0.0,0.0,0.0,0.2653061224489796,0.015873015873015872,1.0,4,2.0,0.0,51,0.8095238095238095,0.5653817082388509,11,0,730,0.7777777777777778,0.0,False,0.46824887748556765,24.571428571428573,12.55328798185941,.dd
51,246,1789,0.0392156862745098,0.0,0,0,0,False,0.058823529411764705,0.0392156862745098,0.0196078431372549,0.0,0.0,False,49,0.045454545454545456,0.0,0,0.0,0.0,0.1111111111111111,0.3137254901960784,0.0392156862745098,0.0,0.27450980392156865,0.0,0.0,0.0,0.18292682926829268,0.0,0,7,0,0,51,1.0,0.6666666666666666,13,0,755,0.7843137254901961,0.0,False,0.42202347680268304,34.8235294117647,18.447520184544405,.dd
77,269,1822,0.0,0.012987012987012988,0,0.0,0.0,False,0.025974025974025976,0.025974025974025976,0.0,0.0,0.0,False,61,0.03125,0.0,0,0.025974025974025976,0.0,0.1,0.19480519480519481,0.06493506493506493,0.025974025974025976,0.1038961038961039,0.0,0.0,0.0,0.23048327137546468,0.0,0,4,0,0,72,0.935064935064935,0.6800472255017708,17,0,571,0.6103896103896104,0.0,False,0.31339187705817784,23.441558441558442,14.683420475628267,.dd
108,465,3079,0.0,0.046296296296296294,0,0.001851851851851852,0.0,False,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,False,108,0.038461538461538464,0.0,0,0.0,0.0,0.07692307692307693,0.2777777777777778,0.06481481481481481,0.0,0.21296296296296297,0.0,0.0,0.0,0.11397849462365592,0.009259259259259259,1.0,3,2.0,0.0,111,1.0277777777777777,0.6903292181069959,16,0,1227,0.7592592592592593,0.0,False,0.3985060084443001,28.36111111111111,15.455246913580247,.dd
42,121,684,0.0,0.0,0,0,0,False,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,False,9,0.125,0.0,0,0.0,0.0,0.25,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.3140495867768595,0.0,0,3,0,0,40,0.9523809523809523,0.22675736961451234,7,0,182,0.23809523809523808,0.0,False,0.26608187134502925,16.11904761904762,4.055555555555556,.jaz
